"trial_name","trial_number","key_pressed","correctness","RT","s","d","question","picture","key1","key2","expected","correct","ID_of_picture","degree_of_rotation","QUD","response_checked","startDate","startTime","age","gender","education","languages","comments","endTime","timeSpent","experiment_id",
"keyPress_main","20","s","incorrect","132","same","different","Are the objects the same or different?","mental_rotation_images/7_150_different.jpg","s","d","different","different","7","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","21","s","incorrect","174","same","different","Are the objects the same or different?","mental_rotation_images/12_50_different.jpg","s","d","different","different","12","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","22","s","incorrect","135","same","different","Are the objects the same or different?","mental_rotation_images/5_50_different.jpg","s","d","different","different","5","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","23","s","correct","160","same","different","Are the objects the same or different?","mental_rotation_images/15_150_same.jpg","s","d","same","same","15","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","24","s","correct","170","same","different","Are the objects the same or different?","mental_rotation_images/5_50_same.jpg","s","d","same","same","5","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","25","s","incorrect","141","same","different","Are the objects the same or different?","mental_rotation_images/14_150_different.jpg","s","d","different","different","14","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","26","s","correct","156","same","different","Are the objects the same or different?","mental_rotation_images/11_50_same.jpg","s","d","same","same","11","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","27","s","incorrect","148","same","different","Are the objects the same or different?","mental_rotation_images/7_50_different.jpg","s","d","different","different","7","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","28","s","correct","170","same","different","Are the objects the same or different?","mental_rotation_images/13_150_same.jpg","s","d","same","same","13","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","29","s","correct","170","same","different","Are the objects the same or different?","mental_rotation_images/14_150_same.jpg","s","d","same","same","14","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","30","s","correct","165","same","different","Are the objects the same or different?","mental_rotation_images/9_150_same.jpg","s","d","same","same","9","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","31","s","correct","153","same","different","Are the objects the same or different?","mental_rotation_images/6_150_same.jpg","s","d","same","same","6","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","32","s","correct","153","same","different","Are the objects the same or different?","mental_rotation_images/7_150_same.jpg","s","d","same","same","7","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","33","s","correct","153","same","different","Are the objects the same or different?","mental_rotation_images/14_50_same.jpg","s","d","same","same","14","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","34","s","correct","194","same","different","Are the objects the same or different?","mental_rotation_images/13_50_same.jpg","s","d","same","same","13","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","35","s","correct","137","same","different","Are the objects the same or different?","mental_rotation_images/9_50_same.jpg","s","d","same","same","9","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","36","s","correct","176","same","different","Are the objects the same or different?","mental_rotation_images/7_50_same.jpg","s","d","same","same","7","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","37","s","incorrect","146","same","different","Are the objects the same or different?","mental_rotation_images/12_150_different.jpg","s","d","different","different","12","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","38","s","correct","156","same","different","Are the objects the same or different?","mental_rotation_images/10_50_same.jpg","s","d","same","same","10","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","39","s","incorrect","174","same","different","Are the objects the same or different?","mental_rotation_images/13_50_different.jpg","s","d","different","different","13","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","40","s","incorrect","150","same","different","Are the objects the same or different?","mental_rotation_images/6_150_different.jpg","s","d","different","different","6","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","41","s","correct","168","same","different","Are the objects the same or different?","mental_rotation_images/12_150_same.jpg","s","d","same","same","12","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","42","s","incorrect","169","same","different","Are the objects the same or different?","mental_rotation_images/8_150_different.jpg","s","d","different","different","8","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","43","s","incorrect","194","same","different","Are the objects the same or different?","mental_rotation_images/5_150_different.jpg","s","d","different","different","5","150","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
"keyPress_main","44","s","correct","126","same","different","Are the objects the same or different?","mental_rotation_images/6_50_same.jpg","s","d","same","same","6","50","","NA","Thu May 16 2019 11:25:16 GMT+0200 (Mitteleuropäische Sommerzeit)","1557998716408","","","","","","1557998742829","0.44035","INSERT_A_NUMBER",
